Task,,,hosp_mortality,hosp_mortality,hosp_mortality,los_7d,los_7d,los_7d
Validation Set,,,val_15,val_20,val_21,val_15,val_20,val_21
Metric,Attribute,Class,,,,,,
F1-score,ethnicity,Caucasian,0.360 (0.350 - 0.370),0.306 (0.294 - 0.319),0.346 (0.333 - 0.360),0.573 (0.567 - 0.578),0.565 (0.560 - 0.570),0.598 (0.592 - 0.603)
F1-score,ethnicity,Hispanic,0.367 (0.323 - 0.411),0.234 (0.099 - 0.368),0.155 (0.101 - 0.210),0.614 (0.583 - 0.645),0.564 (0.513 - 0.616),0.632 (0.602 - 0.663)
F1-score,ethnicity,Indigenous/Native,0.604 (0.541 - 0.667),0.000 (0.000 - 0.000),0.000 (0.000 - 0.000),0.483 (0.431 - 0.534),0.447 (0.393 - 0.502),0.751 (0.676 - 0.827)
F1-score,ethnicity,Other/Unknown,0.359 (0.319 - 0.399),0.219 (0.193 - 0.246),0.240 (0.202 - 0.278),0.602 (0.586 - 0.618),0.574 (0.559 - 0.590),0.572 (0.537 - 0.606)
F1-score,region,Midwest,0.333 (0.316 - 0.350),0.296 (0.282 - 0.310),0.238 (0.220 - 0.256),0.565 (0.554 - 0.576),0.554 (0.547 - 0.561),0.575 (0.569 - 0.580)
F1-score,region,Northeast,0.326 (0.297 - 0.355),0.296 (0.279 - 0.313),0.291 (0.253 - 0.329),0.585 (0.579 - 0.592),0.573 (0.566 - 0.581),0.630 (0.613 - 0.648)
F1-score,region,South,0.367 (0.353 - 0.382),0.322 (0.308 - 0.335),0.405 (0.391 - 0.419),0.595 (0.591 - 0.600),0.604 (0.594 - 0.613),0.626 (0.618 - 0.635)
F1-score,region,West,0.383 (0.372 - 0.394),0.257 (0.226 - 0.288),0.207 (0.102 - 0.311),0.572 (0.563 - 0.582),0.604 (0.587 - 0.621),0.622 (0.587 - 0.658)
Recall,,Overall,0.236 (0.231 - 0.242),0.188 (0.180 - 0.196),0.198 (0.191 - 0.205),0.568 (0.563 - 0.573),0.554 (0.546 - 0.561),0.544 (0.539 - 0.550)
Recall,ethnicity,African American,0.221 (0.202 - 0.240),0.248 (0.221 - 0.275),0.144 (0.122 - 0.165),0.580 (0.567 - 0.594),0.583 (0.565 - 0.602),0.543 (0.522 - 0.563)
Recall,ethnicity,Asian,0.000 (0.000 - 0.000),0.190 (0.124 - 0.257),0.152 (0.125 - 0.179),0.484 (0.427 - 0.540),0.596 (0.546 - 0.645),0.690 (0.651 - 0.729)
Recall,ethnicity,Caucasian,0.237 (0.230 - 0.245),0.192 (0.183 - 0.202),0.222 (0.211 - 0.232),0.563 (0.557 - 0.569),0.552 (0.545 - 0.559),0.545 (0.540 - 0.550)
Recall,ethnicity,Hispanic,0.247 (0.213 - 0.282),0.152 (0.054 - 0.250),0.091 (0.058 - 0.124),0.594 (0.558 - 0.630),0.576 (0.536 - 0.617),0.564 (0.531 - 0.597)
Recall,ethnicity,Indigenous/Native,0.440 (0.379 - 0.500),0.000 (0.000 - 0.000),0.000 (0.000 - 0.000),0.528 (0.473 - 0.583),0.447 (0.361 - 0.533),0.800 (0.753 - 0.847)
Recall,ethnicity,Other/Unknown,0.261 (0.229 - 0.293),0.128 (0.111 - 0.145),0.140 (0.115 - 0.164),0.611 (0.595 - 0.626),0.525 (0.509 - 0.542),0.477 (0.441 - 0.514)
Recall,region,Midwest,0.226 (0.212 - 0.240),0.183 (0.172 - 0.193),0.140 (0.129 - 0.152),0.558 (0.546 - 0.569),0.536 (0.525 - 0.547),0.516 (0.510 - 0.521)
Recall,region,Northeast,0.205 (0.184 - 0.226),0.182 (0.169 - 0.196),0.203 (0.174 - 0.233),0.565 (0.554 - 0.577),0.550 (0.542 - 0.558),0.566 (0.541 - 0.591)
Recall,region,South,0.244 (0.232 - 0.255),0.207 (0.196 - 0.218),0.266 (0.255 - 0.278),0.576 (0.569 - 0.583),0.569 (0.556 - 0.581),0.577 (0.565 - 0.589)
Recall,region,West,0.252 (0.242 - 0.261),0.149 (0.129 - 0.170),0.126 (0.057 - 0.195),0.573 (0.562 - 0.583),0.639 (0.613 - 0.665),0.548 (0.508 - 0.589)
